date,program,window,category,start_time,end_time,total_time,percent
01/04/2025,python,Time Tracker,Misc,22:00:17,22:00:34,0.28,0.27%
01/04/2025,Code,main.py - time_logger - Visual Studio Code,Study,22:00:34,22:00:52,0.3,0.28%
01/04/2025,python,Time Tracker,Misc,22:00:52,22:00:53,0.02,0.02%
01/04/2025,firefox,Gemini — Mozilla Firefox,Break,22:00:53,22:00:57,0.07,0.06%
01/04/2025,python,Time Tracker,Misc,22:00:57,22:00:58,0.02,0.02%
01/04/2025,Code,main.py - time_logger - Visual Studio Code,Study,22:00:58,22:01:01,0.05,0.05%
01/04/2025,explorer,‏‏מעבר בין משימות,Misc,22:01:01,22:01:02,0.02,0.02%
01/04/2025,firefox,Gemini — Mozilla Firefox,Break,22:01:02,22:01:35,0.55,0.52%
01/04/2025,python,Time Tracker,Misc,22:01:35,22:01:36,0.02,0.02%
01/04/2025,Code,main.py - time_logger - Visual Studio Code,Study,22:01:36,22:01:51,0.25,0.24%
01/04/2025,explorer,explorer,Misc,22:01:51,22:01:52,0.02,0.02%
01/04/2025,python,Time Tracker,Misc,22:01:52,22:01:57,0.08,0.08%
01/04/2025,python,Time Tracker,Misc,22:02:02,22:02:07,0.08,0.08%
01/04/2025,Code,main.py - time_logger - Visual Studio Code,Study,22:02:07,22:02:10,0.05,0.05%
01/04/2025,python,Time Tracker,Misc,22:02:10,22:02:18,0.13,0.13%
01/04/2025,Code,main.py - time_logger - Visual Studio Code,Study,22:02:18,22:02:40,0.37,0.35%
01/04/2025,python,Time Tracker,Misc,22:02:40,22:02:50,0.17,0.16%
01/04/2025,Code,config.py - time_logger - Visual Studio Code,Study,22:02:50,22:06:11,3.35,3.16%
01/04/2025,python,Time Tracker,Misc,22:06:11,22:06:40,0.48,0.46%
01/04/2025,Code,main.py - time_logger - Visual Studio Code,Study,22:06:40,22:06:46,0.1,0.09%
01/04/2025,firefox,Gemini — Mozilla Firefox,Break,22:06:46,22:09:11,2.42,2.28%
01/04/2025,python,Time Tracker,Misc,22:09:11,22:09:16,0.08,0.08%
01/04/2025,firefox,Gemini — Mozilla Firefox,Break,22:09:16,22:09:45,0.48,0.46%
01/04/2025,python,Time Tracker,Misc,22:09:45,22:10:00,0.25,0.24%
01/04/2025,Code,main.py - time_logger - Visual Studio Code,Study,22:10:00,22:10:16,0.27,0.25%
01/04/2025,explorer,explorer,Misc,22:10:16,22:10:18,0.03,0.03%
01/04/2025,firefox,(1) WhatsApp — Mozilla Firefox,Break,22:10:18,22:10:35,0.28,0.27%
01/04/2025,Code,main.py - time_logger - Visual Studio Code,Study,22:10:35,22:10:42,0.12,0.11%
01/04/2025,firefox,Gemini — Mozilla Firefox,Break,22:10:42,22:12:26,1.73,1.64%
01/04/2025,Code,main.py - time_logger - Visual Studio Code,Study,22:12:26,22:12:52,0.43,0.41%
01/04/2025,firefox,Gemini — Mozilla Firefox,Break,22:12:52,22:12:57,0.08,0.08%
01/04/2025,explorer,‏‏מעבר בין משימות,Misc,22:12:57,22:12:58,0.02,0.02%
01/04/2025,Code,● logger.py - time_logger - Visual Studio Code,Study,22:12:58,22:13:09,0.18,0.17%
01/04/2025,firefox,Gemini — Mozilla Firefox,Break,22:13:09,22:13:20,0.17,0.17%
01/04/2025,Code,● logger.py - time_logger - Visual Studio Code,Study,22:13:20,22:13:27,0.12,0.11%
01/04/2025,firefox,Gemini — Mozilla Firefox,Break,22:13:27,22:13:42,0.25,0.24%
01/04/2025,explorer,‏‏מעבר בין משימות,Misc,22:13:42,22:13:43,0.02,0.02%
01/04/2025,Code,● logger.py - time_logger - Visual Studio Code,Study,22:13:43,22:13:45,0.03,0.03%
01/04/2025,firefox,Gemini — Mozilla Firefox,Break,22:13:45,22:13:46,0.02,0.02%
01/04/2025,Code,ui.py - time_logger - Visual Studio Code,Study,22:13:46,22:13:55,0.15,0.14%
01/04/2025,firefox,Gemini — Mozilla Firefox,Break,22:13:55,22:13:57,0.03,0.03%
01/04/2025,Code,● ui.py - time_logger - Visual Studio Code,Study,22:13:57,22:14:01,0.07,0.06%
01/04/2025,firefox,Gemini — Mozilla Firefox,Break,22:14:01,22:14:03,0.03,0.03%
01/04/2025,Code,● ui.py - time_logger - Visual Studio Code,Study,22:14:03,22:14:10,0.12,0.11%
01/04/2025,firefox,Gemini — Mozilla Firefox,Break,22:14:10,22:14:17,0.12,0.11%
01/04/2025,Code,ui.py - time_logger - Visual Studio Code,Study,22:14:17,22:14:22,0.08,0.08%
01/04/2025,explorer,‏‏מעבר בין משימות,Misc,22:14:22,22:14:23,0.02,0.02%
01/04/2025,firefox,Gemini — Mozilla Firefox,Break,22:14:23,22:14:24,0.02,0.02%
01/04/2025,Code,ui.py - time_logger - Visual Studio Code,Study,22:14:24,22:14:28,0.07,0.06%
01/04/2025,firefox,Gemini — Mozilla Firefox,Break,22:14:28,22:14:30,0.03,0.03%
01/04/2025,Code,ui.py - time_logger - Visual Studio Code,Study,22:14:30,22:14:38,0.13,0.13%
01/04/2025,explorer,‏‏מעבר בין משימות,Misc,22:14:38,22:14:39,0.02,0.02%
01/04/2025,firefox,Gemini — Mozilla Firefox,Break,22:14:39,22:14:46,0.12,0.11%
01/04/2025,Code,ui.py - time_logger - Visual Studio Code,Study,22:14:46,22:14:53,0.12,0.11%
01/04/2025,python,Time Tracker,Misc,22:14:53,22:14:56,0.05,0.05%
