date,window,category,start_time,end_time,total_time,percent
2025-03-07,Code,misc,22:34:02,22:34:03,0.02,1.96%
2025-03-07,python,Misc,22:34:08,22:34:10,0.03,3.92%
2025-03-07,Code,misc,22:34:10,22:34:11,0.02,1.96%
2025-03-07,explorer,misc,22:34:14,22:34:15,0.02,1.96%
2025-03-07,python,Misc,22:34:15,22:34:16,0.02,1.96%
2025-03-07,Code,misc,22:34:16,22:34:18,0.03,3.92%
2025-03-07,python,Misc,22:34:18,22:34:21,0.05,5.88%
2025-03-07,Code,misc,22:34:21,22:34:29,0.13,15.69%
2025-03-07,python,Misc,22:34:29,22:34:32,0.05,5.88%
2025-03-07,Code,misc,22:34:32,22:34:40,0.13,15.69%
2025-03-07,explorer,misc,22:34:40,22:34:42,0.03,3.92%
2025-03-07,python,Misc,22:34:42,22:34:54,0.2,23.53%
2025-03-07,Code,misc,22:34:54,22:35:01,0.12,13.73%
